book_id,author_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,3
19,41
20,3
21,3
22,3
23,3
24,4
25,4
26,4
27,4
28,5
29,5
30,5
31,6
32,6
33,6
34,6
35,6
35,100
36,6
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,8
46,8
47,8
48,8
49,8
50,8
51,8
52,9
53,9
54,9
54,84
55,9
55,84
56,9
57,9
58,10
59,10
60,10
61,10
62,10
63,11
64,11
65,11
66,12
67,12
68,12
69,13
70,13
71,13
72,14
73,14
74,15
75,15
76,15
77,15
78,15
79,16
80,16
81,16
82,16
83,16
84,17
85,17
86,17
87,17
88,17
89,18
90,18
91,18
92,18
93,18
94,18
95,21
96,21
97,21
98,21
99,22
100,22
101,22
102,22
103,23
104,23
105,23
106,23
107,27
108,27
109,27
110,27
111,27
112,28
113,28
114,28
115,28
116,28
117,28
118,31
119,31
120,31
121,31
122,31
123,32
124,32
125,32
126,32
127,32
128,34
129,34
130,34
131,34
132,37
133,37
134,37
135,38
136,38
137,38
138,38
139,39
140,39
141,39
142,40
143,40
144,40
145,40
146,40
147,44
148,44
149,44
150,45
151,45
152,45
153,45
154,46
155,46
156,46
157,47
158,47
159,47
160,51
161,51
162,51
163,57
164,57
165,57
166,57
167,58
168,58
169,58
170,58
171,58
172,59
173,59
174,59
175,59
176,61
177,61
178,61
179,61
180,64
181,64
182,64
183,66
184,66
185,66
186,66
187,66
188,67
189,67
190,67
191,67
192,67
193,81
194,81
195,81
196,82
197,82
198,82
199,82
200,83
201,83
202,83
203,83
204,83
205,83
206,84
207,84
208,84
209,84
209,9
210,84
211,85
212,85
213,85
214,85
215,86
216,86
217,86
218,86
219,89
220,89
221,89
222,89
223,90
224,90
225,90
226,90
227,91
228,91
229,91
230,91
231,92
232,92
233,92
234,92
235,93
236,93
237,93
238,95
239,95
240,95
241,98
242,98
243,99
244,99
245,100
245,9
246,100
247,100
248,100
249,19
250,19
251,19
252,19
253,19
254,19
255,71
256,71
257,71
258,72
259,72
260,72
261,79
262,79
263,79
264,80
265,80
266,80
267,41
268,41
269,41
270,77
271,77
272,77
273,94
274,96
275,96
276,97
277,97
278,10
279,1
280,15
281,99
282,47
283,13
284,83
285,85
286,71
287,83
288,86
289,16
290,46
291,90
292,90
293,32
294,28
295,98
296,99
297,37
298,47
299,15
300,86
301,99
302,87
302,9
303,59
304,57
305,16
306,31
307,85
308,95
309,92
310,3
311,15
312,83
313,99
314,13
315,38
316,67
317,67
318,67
319,67
320,67
321,67
322,67
323,67
324,67
325,67
326,67
327,67
328,67
329,67
330,67
331,67
332,101
333,101
334,101
335,101
336,101
337,101
338,101
339,44
340,59
341,15
342,95
343,8
344,58
345,98
346,82
347,37
348,93
349,99
350,14
351,13
352,47
353,93
354,95
355,98
356,59
357,57
358,82
359,45
360,61
361,92
362,99
363,13
